timestamp,equipment_id,sensor_data,failure_mode,severity,actions_taken,outcome,resolution_time_hours
2025-05-10T06:47:47.158445+00:00,turbofan_TF-01,"{""vibration_rms"": 5.439, ""temp_c"": 124.45, ""pressure_bar"": 12.87, ""flow_rate_lpm"": 336.8}",overheating,low,Checked cooling; cleaned vents; reduced load; verified thermal sensors.,Escalated; further inspection required.,1.59
2025-04-08T07:08:47.158445+00:00,pump_P-07,"{""vibration_rms"": 5.807, ""temp_c"": 34.61, ""pressure_bar"": 1.45, ""flow_rate_lpm"": 117.5}",cavitation,medium,Adjusted inlet conditions; inspected suction line; removed blockage; re-tested.,Resolved; equipment returned to service.,0.6
2026-01-14T05:39:47.158445+00:00,pump_P-23,"{""vibration_rms"": 0.363, ""temp_c"": 28.74, ""pressure_bar"": 0.78, ""flow_rate_lpm"": 84.0}",cavitation,medium,Adjusted inlet conditions; inspected suction line; removed blockage; re-tested.,Escalated; further inspection required.,0.99
2025-11-02T03:57:47.158445+00:00,motor_M-12,"{""vibration_rms"": 2.907, ""temp_c"": 88.29, ""pressure_bar"": 14.21, ""flow_rate_lpm"": 357.1}",scheduled_maintenance,low,Performed scheduled PM; replaced consumables; updated CMMS notes.,Mitigated; monitor for 48 hours.,1.52
2025-04-23T01:56:47.158445+00:00,turbofan_TF-01,"{""vibration_rms"": 1.285, ""temp_c"": 40.33, ""pressure_bar"": 2.78, ""flow_rate_lpm"": 57.2}",lubrication_issue,medium,Checked oil level; replaced filter; flushed line; refilled per spec.,Escalated; further inspection required.,1.51
2025-11-27T03:42:47.158445+00:00,pump_P-07,"{""vibration_rms"": 4.772, ""temp_c"": 24.2, ""pressure_bar"": 9.35, ""flow_rate_lpm"": 98.4}",bearing_failure,medium,Inspected bearing housing; replaced bearing; verified alignment; relubricated.,Escalated; further inspection required.,2.19
2025-08-07T03:50:47.158445+00:00,turbofan_TF-01,"{""vibration_rms"": 1.409, ""temp_c"": 98.78, ""pressure_bar"": 1.35, ""flow_rate_lpm"": 108.8}",cavitation,low,Adjusted inlet conditions; inspected suction line; removed blockage; re-tested.,Resolved; equipment returned to service.,0.55
2026-01-13T03:29:47.158445+00:00,pump_P-23,"{""vibration_rms"": 2.458, ""temp_c"": 115.28, ""pressure_bar"": 13.22, ""flow_rate_lpm"": 103.5}",overheating,high,Checked cooling; cleaned vents; reduced load; verified thermal sensors.,Escalated; further inspection required.,10.01
2026-03-26T02:12:47.159441+00:00,pump_P-23,"{""vibration_rms"": 4.75, ""temp_c"": 95.26, ""pressure_bar"": 5.16, ""flow_rate_lpm"": 11.7}",overheating,medium,Checked cooling; cleaned vents; reduced load; verified thermal sensors.,Resolved; equipment returned to service.,1.18
2025-05-19T05:21:47.159441+00:00,turbofan_TF-01,"{""vibration_rms"": 1.56, ""temp_c"": 54.81, ""pressure_bar"": 1.51, ""flow_rate_lpm"": 38.5}",sensor_malfunction,high,Re-seated sensor; checked wiring; replaced faulty transducer; recalibrated.,Escalated; further inspection required.,6.42
2025-10-17T22:53:47.159441+00:00,pump_P-07,"{""vibration_rms"": 1.09, ""temp_c"": 43.11, ""pressure_bar"": 8.33, ""flow_rate_lpm"": 235.7}",scheduled_maintenance,high,Performed scheduled PM; replaced consumables; updated CMMS notes.,Mitigated; monitor for 48 hours.,4.7
2025-08-11T22:30:47.159441+00:00,pump_P-23,"{""vibration_rms"": 1.164, ""temp_c"": 120.37, ""pressure_bar"": 14.26, ""flow_rate_lpm"": 395.7}",overheating,medium,Checked cooling; cleaned vents; reduced load; verified thermal sensors.,Resolved; equipment returned to service.,1.13
2025-06-27T14:47:47.159441+00:00,pump_P-23,"{""vibration_rms"": 3.049, ""temp_c"": 95.09, ""pressure_bar"": 7.19, ""flow_rate_lpm"": 299.4}",scheduled_maintenance,low,Performed scheduled PM; replaced consumables; updated CMMS notes.,Mitigated; monitor for 48 hours.,2.22
2026-03-28T20:21:47.159441+00:00,compressor_C-02,"{""vibration_rms"": 0.202, ""temp_c"": 98.0, ""pressure_bar"": 4.03, ""flow_rate_lpm"": 64.2}",overheating,medium,Checked cooling; cleaned vents; reduced load; verified thermal sensors.,Mitigated; monitor for 48 hours.,2.44
2025-05-31T07:24:47.159441+00:00,pump_P-07,"{""vibration_rms"": 2.753, ""temp_c"": 44.58, ""pressure_bar"": 7.52, ""flow_rate_lpm"": 38.7}",scheduled_maintenance,critical,Performed scheduled PM; replaced consumables; updated CMMS notes.,Mitigated; monitor for 48 hours.,9.09
2025-04-06T23:00:47.159441+00:00,turbofan_TF-01,"{""vibration_rms"": 0.916, ""temp_c"": 27.94, ""pressure_bar"": 3.06, ""flow_rate_lpm"": 376.0}",scheduled_maintenance,medium,Performed scheduled PM; replaced consumables; updated CMMS notes.,Resolved; equipment returned to service.,0.66
2025-09-12T05:54:47.159441+00:00,pump_P-07,"{""vibration_rms"": 1.908, ""temp_c"": 62.93, ""pressure_bar"": 6.18, ""flow_rate_lpm"": 377.2}",lubrication_issue,low,Checked oil level; replaced filter; flushed line; refilled per spec.,Resolved; equipment returned to service.,1.35
2026-03-26T12:10:47.159441+00:00,motor_M-12,"{""vibration_rms"": 1.881, ""temp_c"": 69.79, ""pressure_bar"": 1.52, ""flow_rate_lpm"": 103.4}",cavitation,high,Adjusted inlet conditions; inspected suction line; removed blockage; re-tested.,Resolved; equipment returned to service.,8.32
2025-10-14T21:19:47.159441+00:00,compressor_C-02,"{""vibration_rms"": 3.952, ""temp_c"": 118.63, ""pressure_bar"": 1.97, ""flow_rate_lpm"": 189.3}",overheating,low,Checked cooling; cleaned vents; reduced load; verified thermal sensors.,Resolved; equipment returned to service.,0.65
2026-02-16T09:54:47.159441+00:00,motor_M-12,"{""vibration_rms"": 4.623, ""temp_c"": 77.13, ""pressure_bar"": 1.76, ""flow_rate_lpm"": 68.4}",scheduled_maintenance,high,Performed scheduled PM; replaced consumables; updated CMMS notes.,Resolved; equipment returned to service.,5.27
2025-11-07T17:17:47.159441+00:00,pump_P-07,"{""vibration_rms"": 2.42, ""temp_c"": 85.42, ""pressure_bar"": 5.86, ""flow_rate_lpm"": 69.0}",lubrication_issue,medium,Checked oil level; replaced filter; flushed line; refilled per spec.,Mitigated; monitor for 48 hours.,2.11
2025-10-14T05:05:47.159441+00:00,pump_P-07,"{""vibration_rms"": 3.41, ""temp_c"": 101.13, ""pressure_bar"": 8.57, ""flow_rate_lpm"": 356.6}",scheduled_maintenance,high,Performed scheduled PM; replaced consumables; updated CMMS notes.,Escalated; further inspection required.,8.51
2026-01-01T10:07:47.159441+00:00,turbofan_TF-01,"{""vibration_rms"": 4.382, ""temp_c"": 43.24, ""pressure_bar"": 13.51, ""flow_rate_lpm"": 155.5}",lubrication_issue,high,Checked oil level; replaced filter; flushed line; refilled per spec.,Resolved; equipment returned to service.,7.52
2025-12-16T02:20:47.159441+00:00,pump_P-07,"{""vibration_rms"": 5.602, ""temp_c"": 87.85, ""pressure_bar"": 12.27, ""flow_rate_lpm"": 336.7}",lubrication_issue,critical,Checked oil level; replaced filter; flushed line; refilled per spec.,Mitigated; monitor for 48 hours.,10.54
2025-04-20T07:33:47.159441+00:00,pump_P-07,"{""vibration_rms"": 4.59, ""temp_c"": 95.91, ""pressure_bar"": 10.02, ""flow_rate_lpm"": 154.9}",scheduled_maintenance,low,Performed scheduled PM; replaced consumables; updated CMMS notes.,Mitigated; monitor for 48 hours.,0.9
